2017年5月15日,Interface(インターフェース) 2017年 07 月号 [雑誌],"1,000",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o06_?ie=UTF8&orderID=249-5194691-8612615
2017年5月15日,ゲームシナリオの書き方 基礎から学ぶキャラクター・構成・テキストの秘訣 (NEXT CREATOR),"2,138",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o07_?ie=UTF8&orderID=249-6279042-0565458
2017年5月14日,商品名：【Amazon.co.jp限定】Transcend microSDHCカード 16GB Class10 UHS-I対応 無期限保証 Nintendo Switch / 3DS 動作確認済 TS16GUSDU1PE (FFP)、数量：2,"2,320",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o08_?ie=UTF8&orderID=249-6479371-5510223
2017年5月14日,次世代シークエンス解析スタンダード?NGSのポテンシャルを活かしきるWET&DRY,"5,940",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o09_?ie=UTF8&orderID=249-9624247-7662200
2017年5月14日,IO 2017年 05 月号 [雑誌]等,"8,964",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o00_?ie=UTF8&orderID=249-0879781-3807826
2017年5月13日,Fusion 360操作ガイド ベーシック編―次世代クラウドベース3DCAD,"2,808",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o01_?ie=UTF8&orderID=249-6708021-1772648
2017年5月10日,日経ソフトウエア 2017年 06 月号,"1,320",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o03_?ie=UTF8&orderID=249-8113713-4761420
2017年5月8日,Orange Pi社　正規品　Orange Pi各モデル対応専用セット　（電源アダプター５Ｖ/３Ａ　＋　ＵＳＢ接続用ケーブル）,"1,680",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o04_?ie=UTF8&orderID=250-1231884-0395827
2017年5月7日,商品名：【ノーブランド品】USB DVB-T & RTL-SDR Realtek RTL2832U & R820T DVB-T チューナー　レシーバー　MCX入力、数量：2,"1,860",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o05_?ie=UTF8&orderID=249-1391733-1679065
2017年5月6日,EletecPro Bluetooth 4.0 smart watchスマートブレスレット スマートウォッチ　0.87”OLEDスクリーン ワイヤレススポーツバンド 活動量計 血圧測定 歩数計 心拍計 アラーム機能　携帯探し 消費カロリー 睡眠計 走行距離 遠隔カメラ 着信通知 座りがち,"4,099",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o08_?ie=UTF8&orderID=249-9394035-5646261
2017年5月3日,商品名：SODIAL(R) 28BYJ-48 28BYJ48 DC 5V 4-フェーズ5線式ステッピングモータとULN2003ドライバボード、数量：2,440,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o02_?ie=UTF8&orderID=250-0247940-6171038
2017年5月3日,山と高原地図 高尾・陣馬 2017 (登山地図 | マップル),"1,080",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o03_?ie=UTF8&orderID=250-4999743-2340647
2017年5月3日,"技術者のための特許実践講座  技術的範囲を最大化し,スムーズに特許を取得するテクニック","2,376",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o04_?ie=UTF8&orderID=250-6802950-8837431
2017年4月25日,あの会社はこうして潰れた (日経プレミアシリーズ),918,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o08_?ie=UTF8&orderID=250-4382108-5509469
2017年4月25日,現代中国経営者列伝 (星海社新書),972,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o09_?ie=UTF8&orderID=250-5213589-7826234
2017年4月25日,国立科学博物館のひみつ 地球館探検編,"1,944",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o00_?ie=UTF8&orderID=250-2300431-3526255
2017年4月25日,Interface(インターフェース) 2017年 06 月号,"1,080",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o01_?ie=UTF8&orderID=250-0305286-6873451
2017年4月24日,図解入門業界研究最新人材ビジネスの動向とカラクリがよ~くわかる本[第2版] (How-nual図解入門業界研究)等,"3,780",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o02_?ie=UTF8&orderID=250-2914536-7144657
